Batch size,hidden_size,lambda,lr,lr_decay,Accuracy
16,10,0.0,0.001,0.98,0.8241071428571428
16,10,0.0,0.001,0.95,0.7817857142857143
16,10,0.0,0.01,0.98,0.863125
16,10,0.0,0.01,0.95,0.8549107142857143
32,10,0.0,0.001,0.98,0.7901785714285714
32,10,0.0,0.001,0.95,0.7004464285714286
32,10,0.0,0.01,0.98,0.8510714285714286
32,10,0.0,0.01,0.95,0.8479464285714285
64,10,0.0,0.001,0.98,0.7051785714285714
64,10,0.0,0.001,0.95,0.44607142857142856
64,10,0.0,0.01,0.98,0.8501785714285715
64,10,0.0,0.01,0.95,0.8308035714285714
16,32,0.0,0.001,0.98,0.8323214285714285
16,32,0.0,0.001,0.95,0.7866964285714285
16,32,0.0,0.01,0.98,0.879375
16,32,0.0,0.01,0.95,0.8705357142857143
32,32,0.0,0.001,0.98,0.7934821428571428
32,32,0.0,0.001,0.95,0.7059821428571429
32,32,0.0,0.01,0.98,0.8710714285714286
32,32,0.0,0.01,0.95,0.8523214285714286
64,32,0.0,0.001,0.98,0.7223214285714286
64,32,0.0,0.001,0.95,0.5504464285714286
64,32,0.0,0.01,0.98,0.8533035714285714
64,32,0.0,0.01,0.95,0.8375892857142857
16,64,0.0,0.001,0.98,0.8329464285714285
16,64,0.0,0.001,0.95,0.7888392857142857
16,64,0.0,0.01,0.98,0.8853571428571428
16,64,0.0,0.01,0.95,0.8733928571428572
32,64,0.0,0.001,0.98,0.7950892857142857
32,64,0.0,0.001,0.95,0.7125
32,64,0.0,0.01,0.98,0.87125
32,64,0.0,0.01,0.95,0.8566964285714286
64,64,0.0,0.001,0.98,0.730625
64,64,0.0,0.001,0.95,0.5740178571428571
64,64,0.0,0.01,0.98,0.8596428571428572
64,64,0.0,0.01,0.95,0.8383928571428572
16,128,0.0,0.001,0.98,0.8340178571428571
16,128,0.0,0.001,0.95,0.7911607142857143
16,128,0.0,0.01,0.98,0.8863392857142857
16,128,0.0,0.01,0.95,0.8745535714285714
32,128,0.0,0.001,0.98,0.7967857142857143
32,128,0.0,0.001,0.95,0.7160714285714286
32,128,0.0,0.01,0.98,0.8753571428571428
32,128,0.0,0.01,0.95,0.8586607142857143
64,128,0.0,0.001,0.98,0.7316071428571429
64,128,0.0,0.001,0.95,0.5842857142857143
64,128,0.0,0.01,0.98,0.8591964285714285
64,128,0.0,0.01,0.95,0.8377678571428572
16,10,0.2,0.001,0.98,0.8173214285714285
16,10,0.2,0.001,0.95,0.7733035714285714
16,10,0.2,0.01,0.98,0.8286607142857143
16,10,0.2,0.01,0.95,0.8338392857142857
32,10,0.2,0.001,0.98,0.7811607142857143
32,10,0.2,0.001,0.95,0.69
32,10,0.2,0.01,0.98,0.8432142857142857
32,10,0.2,0.01,0.95,0.8396428571428571
64,10,0.2,0.001,0.98,0.6979464285714285
64,10,0.2,0.001,0.95,0.44857142857142857
64,10,0.2,0.01,0.98,0.8454464285714286
64,10,0.2,0.01,0.95,0.8311607142857143
16,32,0.2,0.001,0.98,0.8189285714285715
16,32,0.2,0.001,0.95,0.77625
16,32,0.2,0.01,0.98,0.83875
16,32,0.2,0.01,0.95,0.8371428571428572
32,32,0.2,0.001,0.98,0.7897321428571429
32,32,0.2,0.001,0.95,0.7017857142857142
32,32,0.2,0.01,0.98,0.8504464285714286
32,32,0.2,0.01,0.95,0.8407142857142857
64,32,0.2,0.001,0.98,0.7216071428571429
64,32,0.2,0.001,0.95,0.566875
64,32,0.2,0.01,0.98,0.8461607142857143
64,32,0.2,0.01,0.95,0.834375
16,64,0.2,0.001,0.98,0.8229464285714285
16,64,0.2,0.001,0.95,0.7800892857142857
16,64,0.2,0.01,0.98,0.84
16,64,0.2,0.01,0.95,0.8378571428571429
32,64,0.2,0.001,0.98,0.793125
32,64,0.2,0.001,0.95,0.7057142857142857
32,64,0.2,0.01,0.98,0.8526785714285714
32,64,0.2,0.01,0.95,0.8441071428571428
64,64,0.2,0.001,0.98,0.7259821428571429
64,64,0.2,0.001,0.95,0.5639285714285714
64,64,0.2,0.01,0.98,0.8488392857142857
64,64,0.2,0.01,0.95,0.8357142857142857
16,128,0.2,0.001,0.98,0.8208928571428571
16,128,0.2,0.001,0.95,0.7815178571428572
16,128,0.2,0.01,0.98,0.8391071428571428
16,128,0.2,0.01,0.95,0.8390178571428571
32,128,0.2,0.001,0.98,0.794375
32,128,0.2,0.001,0.95,0.7154464285714286
32,128,0.2,0.01,0.98,0.8542857142857143
32,128,0.2,0.01,0.95,0.8440178571428572
64,128,0.2,0.001,0.98,0.7284821428571429
64,128,0.2,0.001,0.95,0.5734821428571428
64,128,0.2,0.01,0.98,0.8528571428571429
64,128,0.2,0.01,0.95,0.8354464285714286
16,10,0.8,0.001,0.98,0.7750892857142857
16,10,0.8,0.001,0.95,0.7436607142857142
16,10,0.8,0.01,0.98,0.7807142857142857
16,10,0.8,0.01,0.95,0.7832142857142858
32,10,0.8,0.001,0.98,0.7616964285714286
32,10,0.8,0.001,0.95,0.6875
32,10,0.8,0.01,0.98,0.8128571428571428
32,10,0.8,0.01,0.95,0.8124107142857143
64,10,0.8,0.001,0.98,0.70375
64,10,0.8,0.001,0.95,0.4785714285714286
64,10,0.8,0.01,0.98,0.8283928571428572
64,10,0.8,0.01,0.95,0.8227678571428572
16,32,0.8,0.001,0.98,0.7789285714285714
16,32,0.8,0.001,0.95,0.7508035714285715
16,32,0.8,0.01,0.98,0.7860714285714285
16,32,0.8,0.01,0.95,0.7847321428571429
32,32,0.8,0.001,0.98,0.7738392857142857
32,32,0.8,0.001,0.95,0.6897321428571429
32,32,0.8,0.01,0.98,0.8150892857142857
32,32,0.8,0.01,0.95,0.8147321428571429
64,32,0.8,0.001,0.98,0.7155357142857143
64,32,0.8,0.001,0.95,0.5205357142857143
64,32,0.8,0.01,0.98,0.8333928571428572
64,32,0.8,0.01,0.95,0.8219642857142857
16,64,0.8,0.001,0.98,0.7770535714285715
16,64,0.8,0.001,0.95,0.7528571428571429
16,64,0.8,0.01,0.98,0.7814285714285715
16,64,0.8,0.01,0.95,0.7852678571428572
32,64,0.8,0.001,0.98,0.7758035714285715
32,64,0.8,0.001,0.95,0.6925892857142857
32,64,0.8,0.01,0.98,0.8150892857142857
32,64,0.8,0.01,0.95,0.8136607142857143
64,64,0.8,0.001,0.98,0.7190178571428572
64,64,0.8,0.001,0.95,0.5711607142857142
64,64,0.8,0.01,0.98,0.8323214285714285
64,64,0.8,0.01,0.95,0.8247321428571428
16,128,0.8,0.001,0.98,0.7780357142857143
16,128,0.8,0.001,0.95,0.7544642857142857
16,128,0.8,0.01,0.98,0.7851785714285714
16,128,0.8,0.01,0.95,0.7853571428571429
32,128,0.8,0.001,0.98,0.7775892857142858
32,128,0.8,0.001,0.95,0.7029464285714285
32,128,0.8,0.01,0.98,0.815
32,128,0.8,0.01,0.95,0.8152678571428571
64,128,0.8,0.001,0.98,0.7232142857142857
64,128,0.8,0.001,0.95,0.5728571428571428
64,128,0.8,0.01,0.98,0.8325892857142857
64,128,0.8,0.01,0.95,0.8255357142857143
