,lr,wd,bt,optimizer_type,loss,test_accuracy
0,0.01,0.0,32,SGD,1.6940586307356436,41.8375
1,0.01,0.0,32,Adam,1.7314445472532702,41.3875
2,0.01,0.01,32,SGD,1.8147679028972503,33.8375
3,0.01,0.01,32,Adam,2.245561742013501,16.225
4,0.01,0.0,64,SGD,1.9035553855280722,30.9625
5,0.01,0.0,64,Adam,1.8795925224981,30.125
6,0.01,0.01,64,SGD,1.8999855806750636,29.975
7,0.01,0.01,64,Adam,2.229565562740449,16.8375
8,0.01,0.0,128,SGD,1.9216038988482567,29.675
9,0.01,0.0,128,Adam,1.9121034029991395,32.0875
10,0.01,0.01,128,SGD,1.9250636754497406,30.025
11,0.01,0.01,128,Adam,2.2208143511126117,20.5375
12,0.001,0.0,32,SGD,1.8801521610829137,31.325
13,0.001,0.0,32,Adam,1.8577134974541203,34.3125
14,0.001,0.01,32,SGD,1.9106334149837494,29.7625
15,0.001,0.01,32,Adam,2.022812916386512,25.725
16,0.001,0.0,64,SGD,1.8809015020247428,32.0125
17,0.001,0.0,64,Adam,1.7167368704272854,41.3875
18,0.001,0.01,64,SGD,1.9121281158539556,30.425
19,0.001,0.01,64,Adam,1.9734585112141025,28.7875
20,0.001,0.0,128,SGD,1.9595661163330078,30.65
21,0.001,0.0,128,Adam,1.7572491515067317,40.825
22,0.001,0.01,128,SGD,1.968953594084709,29.975
23,0.001,0.01,128,Adam,1.9450098468411354,31.75
