,lr,wd,bt,optimizer_type,loss,test_accuracy
0,0.01,0.0,32,SGD,7.119976916620808,20.825
1,0.01,0.0,32,Adam,8.74754032396501,19.3625
2,0.01,0.01,32,SGD,7.001458829449069,20.2
3,0.01,0.01,32,Adam,8.281034696486689,21.725
4,0.01,0.0,64,SGD,4.012174025658639,22.575
5,0.01,0.0,64,Adam,6.62370277220203,17.4125
6,0.01,0.01,64,SGD,3.823062285300224,18.6
7,0.01,0.01,64,Adam,5.377598070329236,18.9625
8,0.01,0.0,128,SGD,2.6604772536985335,22.7
9,0.01,0.0,128,Adam,4.657053201429306,21.1625
10,0.01,0.01,128,SGD,2.8089371573540474,25.325
11,0.01,0.01,128,Adam,4.318266353299541,22.3625
12,0.001,0.0,32,SGD,2.1865643820455,26.975
13,0.001,0.0,32,Adam,2.3660423246122178,24.4625
14,0.001,0.01,32,SGD,2.1805089308369543,28.1125
15,0.001,0.01,32,Adam,2.3199975557865633,25.7625
16,0.001,0.0,64,SGD,2.0755960479859383,28.7375
17,0.001,0.0,64,Adam,2.2137782054562725,26.95
18,0.001,0.01,64,SGD,2.081701376745778,30.2625
19,0.001,0.01,64,Adam,2.2282365272122044,23.65
20,0.001,0.0,128,SGD,2.03570516263285,31.0625
21,0.001,0.0,128,Adam,2.1901339523253904,26.3125
22,0.001,0.01,128,SGD,2.089436819476466,29.6375
23,0.001,0.01,128,Adam,2.1917890964015836,28.725
