,lr,wd,bt,optimizer_type,loss,test_accuracy
0,0.01,0.0,32,SGD,0.9910437661793924,56.2625
1,0.01,0.0,32,Adam,0.43414957136396437,61.125
2,0.01,0.01,32,SGD,0.41157125699664315,56.9625
3,0.01,0.01,32,Adam,1.81432883585653,15.9375
4,0.01,0.0,64,SGD,0.5637274009566153,56.2125
5,0.01,0.0,64,Adam,0.5881343753107132,56.3375
6,0.01,0.01,64,SGD,0.5283301914891889,57.3125
7,0.01,0.01,64,Adam,1.7538885801069197,19.2375
8,0.01,0.0,128,SGD,0.69585348617646,57.975
9,0.01,0.0,128,Adam,0.6347934997850849,58.225
10,0.01,0.01,128,SGD,0.5935481373340853,57.5
11,0.01,0.01,128,Adam,1.6704529100848782,25.7625
12,0.001,0.0,32,SGD,0.950649359053181,54.9375
13,0.001,0.0,32,Adam,0.6997169395608287,58.725
14,0.001,0.01,32,SGD,0.7504418444248938,57.6125
15,0.001,0.01,32,Adam,1.2488174909545529,53.7125
16,0.001,0.0,64,SGD,0.7836366939929224,57.2125
17,0.001,0.0,64,Adam,0.44740175023194284,58.8625
18,0.001,0.01,64,SGD,0.5832198267021487,53.7375
19,0.001,0.01,64,Adam,1.0876972175413562,54.425
20,0.001,0.0,128,SGD,0.8230966079619623,57.8
21,0.001,0.0,128,Adam,0.3587227973245805,57.2625
22,0.001,0.01,128,SGD,0.6369430413169246,54.85
23,0.001,0.01,128,Adam,0.9029290003161277,57.0625
